排名,电影名,评分,评分人数,评语,导演,主演,上映日期,制片国家/地区,类型,封面,链接
1,肖申克的救赎,9.7,3010430,希望让人自由。,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,https://movie.douban.com/subject/1292052/
2,霸王别姬,9.6,2224851,风华绝代。,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,剧情 爱情 同性,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,https://movie.douban.com/subject/1291546/
3,阿甘正传,9.5,2242942,一部美国近现代史。,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,1994,美国,剧情 爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,https://movie.douban.com/subject/1292720/
4,泰坦尼克号,9.5,2281179,失去的才是永恒的。 ,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,1997,美国 墨西哥,剧情 爱情 灾难,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,https://movie.douban.com/subject/1292722/
5,千与千寻,9.4,2328929,最好的宫崎骏，最好的久石让。 ,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,日本,剧情 动画 奇幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,https://movie.douban.com/subject/1291561/
6,这个杀手不太冷,9.4,2372237,怪蜀黍和小萝莉不得不说的故事。,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国 美国,剧情 动作 犯罪,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,https://movie.douban.com/subject/1295644/
7,美丽人生,9.5,1373331,最美的谎言。,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 喜剧 爱情 战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,https://movie.douban.com/subject/1292063/
8,星际穿越,9.4,1944063,爱是一种力量，让我们超越时空感知它的存在。,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大,剧情 科幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,https://movie.douban.com/subject/1889243/
9,盗梦空间,9.4,2146413,诺兰给了我们一场无法盗取的梦。,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情 科幻 悬疑 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,https://movie.douban.com/subject/3541415/
10,楚门的世界,9.4,1799721,如果再也不能见到你，祝你早安，午安，晚安。,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情 科幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,https://movie.douban.com/subject/1292064/
11,辛德勒的名单,9.5,1160472,拯救一个人，就是拯救整个世界。,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,1993,美国,剧情 历史 战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,https://movie.douban.com/subject/1295124/
12,忠犬八公的故事,9.4,1441171,永远都不能忘记你所爱的人。,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger...,2009,美国 英国,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,https://movie.douban.com/subject/3011091/
13,海上钢琴师,9.3,1735961,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情 音乐,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,https://movie.douban.com/subject/1292001/
14,三傻大闹宝莱坞,9.2,1925020,英俊版憨豆，高情商版谢耳朵。,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 喜剧 爱情 歌舞,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,https://movie.douban.com/subject/3793023/
15,放牛班的春天,9.3,1362532,天籁一般的童声，是最接近上帝的存在。 ,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情 音乐,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,https://movie.douban.com/subject/1291549/
16,机器人总动员,9.3,1366698,小瓦力，大人生。,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽...,2008,美国,科幻 动画 冒险,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,https://movie.douban.com/subject/2131459/
17,疯狂动物城,9.2,2035179,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,2016,美国,喜剧 动画 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg,https://movie.douban.com/subject/25662329/
18,无间道,9.3,1427253,香港电影史上永不过时的杰作。,刘伟强 / 麦兆辉,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002,中国香港,剧情 犯罪 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,https://movie.douban.com/subject/1307914/
19,控方证人,9.6,607212,比利·怀德满分作品。,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·...,1957,美国,剧情 犯罪 悬疑,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,https://movie.douban.com/subject/1296141/
20,大话西游之大圣娶亲,9.2,1587433,一生所爱。,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,https://movie.douban.com/subject/1292213/
21,熔炉,9.4,965409,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,https://movie.douban.com/subject/5912992/
22,教父,9.3,1009610,千万不要记恨你的对手，这样会让你失去理智。,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,1972,美国,剧情 犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,https://movie.douban.com/subject/1291841/
23,触不可及,9.3,1171353,满满温情的高雅喜剧。,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,主...,2011,法国,剧情 喜剧,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,https://movie.douban.com/subject/6786002/
24,当幸福来敲门,9.2,1572534,平民励志片。 ,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ...,2006,美国,剧情 传记 家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,https://movie.douban.com/subject/1849031/
25,寻梦环游记,9.1,1767170,死亡不是真的逝去，遗忘才是永恒的消亡。,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,2017,美国,喜剧 动画 奇幻 音乐,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg,https://movie.douban.com/subject/20495023/
26,末代皇帝,9.3,930319,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,https://movie.douban.com/subject/1293172/
27,龙猫,9.2,1312366,人人心中都有个龙猫，童年就永远不会消失。,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,动画 奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,https://movie.douban.com/subject/1291560/
28,怦然心动,9.1,1900405,真正的幸福是来自内心深处。,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情 喜剧 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,https://movie.douban.com/subject/3319755/
29,活着,9.3,885918,张艺谋最好的电影。,张艺谋 Yimou Zhang,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,中国大陆 中国香港,剧情 历史 家庭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,https://movie.douban.com/subject/1292365/
30,哈利·波特与魔法石,9.2,1254360,童话世界的开端。,Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国 英国,奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,https://movie.douban.com/subject/1295038/
31,蝙蝠侠：黑暗骑士,9.2,1104307,无尽的黑暗。,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,https://movie.douban.com/subject/1851857/
32,指环王3：王者无敌,9.3,837132,史诗的终章。,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2003,美国 新西兰,剧情 动作 奇幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg,https://movie.douban.com/subject/1291552/
33,我不是药神,9.0,2183609,对我们国家而言，这样的电影多一部是一部。,文牧野 Muye Wen,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018,中国大陆,剧情 喜剧,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,https://movie.douban.com/subject/26752088/
34,乱世佳人,9.3,719983,Tomorrow is another day.,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,费...,1939,美国,剧情 历史 爱情 战争,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,https://movie.douban.com/subject/1300267/
35,飞屋环游记,9.1,1379649,最后那些最无聊的事情，才是最值得怀念的。 ,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德...,2009,美国,剧情 喜剧 动画 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553594918.jpg,https://movie.douban.com/subject/2129039/
36,素媛,9.3,715630,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,https://movie.douban.com/subject/21937452/
37,哈尔的移动城堡,9.1,1075901,带着心爱的人在天空飞翔。,宫崎骏 Hayao Miyazaki,倍赏千惠子 Chieko Baishô / 木村拓...,2004,日本,爱情 动画 奇幻 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2904111050.jpg,https://movie.douban.com/subject/1308807/
38,十二怒汉,9.4,517604,1957年的理想主义。 ,Sidney Lumet,亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957,美国,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,https://movie.douban.com/subject/1293182/
39,让子弹飞,9.0,1768451,你给我翻译翻译，神马叫做TMD的惊喜。,姜文 Wen Jiang,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,https://movie.douban.com/subject/3742360/
40,何以为家,9.1,1084427,凝视卑弱生命，用电影改变命运。,娜丁·拉巴基 Nadine Labaki,扎因·拉费阿 Zain al-Rafeea / ...,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,https://movie.douban.com/subject/30170448/
